raw_column,clean_column,multi_valid,remove_column
" [39] ""Please.select.yes.or.no""                                                                                                          ",Q15_Org_Deploy_To_Crisis,no,no
" [40] ""Please.provide.any.details""                                                                                                       ",Q15_Org_Deploy_To_Crisis_Open_Response,no,no
" [41] ""Global""                                                                                                                           ",Q16_Org_Geographic_Projects_Global,yes,no
" [42] ""Europe""                                                                                                                           ",Q16_Org_Geographic_Projects_Europe,yes,no
" [43] ""Asia.and.the.Pacific""                                                                                                             ",Q16_Org_Geographic_Projects_API,yes,no
" [44] ""Latin.America.and.the.Caribbean""                                                                                                  ",Q16_Org_Geographic_Projects_Latin_America,yes,no
" [45] ""Middle.East.and.North.Africa""                                                                                                     ",Q16_Org_Geographic_Projects_Middle_East,yes,no
" [46] ""West.and.Central.Africa""                                                                                                          ",Q16_Org_Geographic_Projects_West_Central_Africa,yes,no
" [47] ""Southern.and.Eastern.Africa""                                                                                                      ",Q16_Org_Geographic_Projects_Southern_Eastern_Africa,yes,no
" [48] ""None.1""                                                                                                                           ",Q16_Org_Geographic_Projects_None,yes,no
" [49] ""Donors""                                                                                                                           ",Q17_Org_End_User_Donors,yes,no
" [50] ""UN.agencies""                                                                                                                      ",Q17_Org_End_User_UN_Agencies,yes,no
" [51] ""Red.Cross..Red.Crescent.Movement""                                                                                                 ",Q17_Org_End_User_Red_Cross,yes,no
" [52] ""International.NGOs""                                                                                                               ",Q17_Org_End_User_International_NGO,yes,no
" [53] ""Local.and.national.organizations""                                                                                                 ",Q17_Org_End_User_Local_National_Org,yes,no
" [54] ""Other.2""                                                                                                                          ",Q17_Org_End_User_Other,yes,no
" [55] ""Please.provide.details..for.example..do.you.have.partnerships.in.place..MoUs..or.contractual.sub.granting.agreements.""            ",Q17_Org_End_User_Open_Response,no,no
" [56] ""Please.rank""                                                                                                                      ",SQ01_H2H_Network_Satisfaction,no,no
" [57] ""Please.provide.any.details.1""                                                                                                     ",SQ01_H2H_Network_Satisfaction_Open_Response,no,no
" [58] ""Please.rank.1""                                                                                                                    ",SQ02_Level_Involvement,no,no
" [59] ""Member.of.the.Board""                                                                                                              ",SQ02_Level_Involvement_Type_Board_Member,yes,no
" [60] ""Regularly.participating.in.calls.and.workshops""                                                                                   ",SQ02_Level_Involvement_Type_Calls_Workshops,yes,no
" [61] ""Engaging.with.the.Communications.Community.of.Practice.of.the.Impact.and.Learning.Advisory.Group""                                 ",SQ02_Level_Involvement_Type_Community_Of_Practice,yes,no
" [62] ""Participating.in.H2H.Network.organized.events.at.HNPW.or.elsewhere""                                                               ",SQ02_Level_Involvement_Type_Network_Events,yes,no
" [63] ""Other.3""                                                                                                                          ",SQ02_Level_Involvement_Type_Other,yes,no
" [64] ""Please.add.any.details.about.your.engagement""                                                                                     ",SQ02_Level_Involvement_Open_Response,no,no
" [65] ""Please.select.yes.or.no.1""                                                                                                        ",SQ03_Collaborated_With_Other_H2H_Member,no,no
" [66] ""Formal.collaboration""                                                                                                             ",SQ03_Collaborated_With_Other_H2H_Member_Type_Formal,yes,no
" [67] ""Informal.collaboration""                                                                                                           ",SQ03_Collaborated_With_Other_H2H_Member_Type_Informal,yes,no
" [68] ""Please.add.any.details.on.your.collaboration..this.is.extremely.useful.information.for.us..""                                      ",SQ03_Collaborated_With_Other_H2H_Member_Open_Response,no,no
" [69] ""Fund.activation""                                                                                                                  ",SQ04_H2H_Facilitated_Collab_Type_Fund_Activation,yes,no
" [70] ""Community.of.practice""                                                                                                            ",SQ04_H2H_Facilitated_Collab_Type_Community_Of_Practice,yes,no
" [71] ""Events""                                                                                                                           ",SQ04_H2H_Facilitated_Collab_Type_Events,yes,no
" [72] ""Webinar.and.calls""                                                                                                                ",SQ04_H2H_Facilitated_Collab_Type_Webinars,yes,no
" [73] ""N.A""                                                                                                                              ",SQ04_H2H_Facilitated_Collab_Type_Not_Applicable,yes,no
" [74] ""Other.4""                                                                                                                          ",SQ04_H2H_Facilitated_Collab_Type_Other,yes,no
" [75] ""If.other..please.specify..""                                                                                                       ",SQ04_H2H_Facilitated_Collab_Open_Response,no,no
" [76] ""X1.1.calls.or.email.exchanges.with.the.core.team""                                                                                 ",SQ05_Network_Engagement_Type_Calls_Emails,yes,no
" [77] ""Monthly.members..updates.general.emails""                                                                                          ",SQ05_Network_Engagement_Type_Monthly_Updates,yes,no
" [78] ""Internal.members..hub..SharePoint.""                                                                                               ",SQ05_Network_Engagement_Type_Sharepoint,yes,no
" [79] ""Community.of.Practice.slack.channel""                                                                                              ",SQ05_Network_Engagement_Type_Slack,yes,no
" [80] ""Crisis.watch.calls""                                                                                                               ",SQ05_Network_Engagement_Type_Crisis_Watch_Calls,yes,no
" [81] ""Other.5""                                                                                                                          ",SQ05_Network_Engagement_Type_Other,yes,no
" [82] ""If.other..please.specify...1""                                                                                                     ",SQ05_Network_Engagement_Open_Response,no,no
" [83] ""Would.you.like.to.propose.any.new.topics.for.communities.of.practice..learning.webinars.or.workshops..""                           ",SQ06_Community_Of_Practice_Suggestions_Open_Response,no,no
" [84] ""Would.you.like.to.make.any.other.suggestions.concerning.the.future.development.of.members..services.""                             ",SQ07_Member_Services_Suggestions_Open_Response,no,no
" [85] ""Please.select.yes.or.no.2""                                                                                                        ",SQ08_Applied_For_H2H_Fund,no,no
" [86] ""Please.provide.any.details.2""                                                                                                     ",SQ08_Applied_For_H2H_Fund_Open_Response,no,no
" [87] ""The.process.around.accessing.funding.is.unclear.to.you""                                                                           ",SQ09_Avoided_H2H_Fund_Reason_Type_Unclear_Process,yes,no
" [88] ""The.crisis.covered.by.the.Fund.activations.do.not.align.with.your.operational.priorities.and.capacities""                          ",SQ09_Avoided_H2H_Fund_Reason_Type_Misaligned_Priorities_Capacities,yes,no
" [89] ""Your.organization.had.other.sources.of.funding.for.your.response.to.the.crisis.covered.by.the.Fund""                               ",SQ09_Avoided_H2H_Fund_Reason_Type_Alternate_Funding,yes,no
" [90] ""The.timeframe.to.submit.a.project.proposal.is.too.short""                                                                          ",SQ09_Avoided_H2H_Fund_Reason_Type_Submission_Timeframe_Short,yes,no
" [91] ""The.process.around.submitting.an.application..narrative.proposal..budget..workplan...is.too.complex""                              ",SQ09_Avoided_H2H_Fund_Reason_Type_Complex_Process,yes,no
" [92] ""The.Due.Diligence.Assessment.required.to.access.the.fund.is.too.complex.or.time.consuming""                                        ",SQ09_Avoided_H2H_Fund_Reason_Type_Due_Dilligence_Assessment,yes,no
" [93] ""The.amount.allocated.is.too.small""                                                                                                ",SQ09_Avoided_H2H_Fund_Reason_Type_Amount_Small,yes,no
" [94] ""The.timeframe.to.implemented.funded.projects.is.too.short""                                                                        ",SQ09_Avoided_H2H_Fund_Reason_Type_Implment_Timeframe_Short,yes,no
" [95] ""Other.6""                                                                                                                          ",SQ09_Avoided_H2H_Fund_Reason_Type_Other,yes,no
" [96] ""If.other..please.specify...2""                                                                                                     ",SQ09_Avoided_H2H_Fund_Reason_Open_Response,no,no
" [97] ""Please.select.yes.or.no.3""                                                                                                        ",SQ10_H2H_Fund_Rejection_Feedback_Useful,no,no
" [98] ""Please.add.any.details""                                                                                                           ",SQ10_H2H_Fund_Rejection_Feedback_Useful_Open_Response,no,no
" [99] ""Please.rank.2""                                                                                                                    ",SQ11_Grant_Panel_Assessment_Decision_Process,no,no
"[100] ""Please.provide.any.comments""                                                                                                      ",SQ11_Grant_Panel_Assessment_Decision_Process_Open_Response,no,no
"[101] ""Please.rank.3""                                                                                                                    ",SQ12_Grant_Support_Provided,no,no
"[102] ""Please.provide.any.comments.1""                                                                                                    ",SQ12_Grant_Support_Provided_Open_Response,no,no
"[103] ""Would.you.like.to.make.any.other.suggestions.concerning.the.future.development.of.the.fund.or.directions.that.it.could.take.""     ",SQ13_Fund_Development_Suggestions_Open_Response,no,no
"[104] ""Please.select.yes.or.no.4""                                                                                                        ",SQ14_Greater_Awareness_Of_Network,no,no
"[105] ""Please.share.any.details.on.your.perception.of.others..awareness.of.the.H2H.Network""                                              ",SQ14_Greater_Awareness_Of_Network_Open_Response,no,no
"[106] ""How.do.you.communicate.to.operational.agencies..donors.and.local.national.actors.about.the.H2H.Network.and.your.role.as.a.member.""",SQ15_How_Communicate_About_H2H,no,no
"[107] ""Please.rank.the.three.alternatives.in.order.of.effectiveness""                                                                     ",SQ16_Rank_External_Engagement_Approach,no,no
"[108] ""If.any.comments..please.provide.below.""                                                                                           ",SQ16_Rank_External_Engagement_Approach_Open_Response,no,no
"[109] ""Social.media""                                                                                                                     ",SQ17_External_Network_Engagement_Type_Social_Media,yes,no
"[110] ""Website""                                                                                                                          ",SQ17_External_Network_Engagement_Type_Website,yes,no
"[111] ""Public.newsletter""                                                                                                                ",SQ17_External_Network_Engagement_Type_Newsletter,yes,no
"[112] ""Events.1""                                                                                                                         ",SQ17_External_Network_Engagement_Type_Events,yes,no
"[113] ""Other.7""                                                                                                                          ",SQ17_External_Network_Engagement_Type_Other,yes,no
"[114] ""If.other..please.comment.below..1""                                                                                                ",SQ17_External_Network_Engagement_Open_Response,no,no
"[115] ""Communications.package""                                                                                                           ",SQ18_Fund_Activation_External_Enagagement_Type_Comms_Package,yes,no
"[116] ""Brokering.with.stakeholders..end.users..donors..partners..""                                                                       ",SQ18_Fund_Activation_External_Enagagement_Type_Stakeholder_Brokering,yes,no
"[117] ""Deployment""                                                                                                                       ",SQ18_Fund_Activation_External_Enagagement_Type_Deployment,yes,no
"[118] ""Other.8""                                                                                                                          ",SQ18_Fund_Activation_External_Enagagement_Type_Other,yes,no
"[119] ""If.other..please.comment.below..2""                                                                                                ",SQ18_Fund_Activation_External_Enagagement_Open_Response,no,no
"[120] ""Would.you.like.to.make.any.other.suggestions.concerning.the.H2H.Network.s.brokering.and.facilitation.activities...""               ",SQ19_H2H_Brokering_Facilitation_Suggestions_Open_Response,no,no
"[121] ""Start.Date..UTC.""                                                                                                                 ",PII_Survey_Start,no,no
"[122] ""Submit.Date..UTC.""                                                                                                                ",PII_Survey_Finish,no,no
"[123] ""Network.ID""                                                                                                                       ",PII_Network_ID,no,no
"[124] ""Tags""  ",PII_Empty_Tags,no,no
