raw_column,clean_column,multi_valid,remove_column
" [26] ""...26""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q04_PII_Communication_Contact_5,no,no
" [27] ""...27""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q04_PII_Communication_Contact_6,no,no
" [28] ""...28""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q04_PII_Communication_Contact_7,no,no
" [29] ""...29""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q04_PII_Communication_Contact_8,no,no
" [30] ""...30""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q04_PII_Communication_Contact_9,no,no
" [31] ""...31""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q04_PII_Communication_Contact_10,no,no
" [32] ""There will be an option for potential service users to contact your organisation directly.  Which contact details would you like published as part of the database?  Leave blank if it is the same person as above""                                                                                                                                                                                                              ",Q05_PII_Public_Contact_1,no,no
" [33] ""...33""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q05_PII_Public_Contact_2,no,no
" [34] ""...34""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q05_PII_Public_Contact_3,no,no
" [35] ""...35""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q05_PII_Public_Contact_4,no,no
" [36] ""...36""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q05_PII_Public_Contact_5,no,no
" [37] ""...37""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q05_PII_Public_Contact_6,no,no
" [38] ""...38""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q05_PII_Public_Contact_7,no,no
" [39] ""...39""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q05_PII_Public_Contact_8,no,no
" [40] ""...40""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q05_PII_Public_Contact_9,no,no
" [41] ""...41""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q05_PII_Public_Contact_10,no,no
" [42] ""How would you prefer to stay up to date on H2H Network matters?Chose 3 options.""                                                                                                                                                                                                                                                                                                                                                 ",Q06_Update_Preference_Website,yes,no
" [43] ""...43""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q06_Update_Preference_Email,yes,no
" [44] ""...44""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q06_Update_Preference_Skype,yes,no
" [45] ""...45""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q06_Update_Preference_Slack,yes,no
" [46] ""...46""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q06_Update_Preference_Monthly_Webinar,yes,no
" [47] ""...47""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q06_Update_Preference_Quarterly_Webinar,yes,no
" [48] ""...48""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q06_Update_Preference_Empty,yes,no
" [49] ""When was your organisation established?""                                                                                                                                                                                                                                                                                                                                                                                         ",Q07_Years_Ago_Org_Founded,no,no
" [50] ""What is the legal status of your organisation?""                                                                                                                                                                                                                                                                                                                                                                                  ",Q08_Org_Legal_status,no,no
" [51] ""...51""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q08_Org_Legal_Status_Open_Response,no,no
" [52] ""What was your annual budget in GBP...""                                                                                                                                                                                                                                                                                                                                                                                           ",Q09_Org_Annual_Budget_Range_2017,no,no
" [53] ""...53""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q10_Org_Annual_Budget_Range_2018,no,no
" [54] ""From where have you received funding in the last 2 years?""                                                                                                                                                                                                                                                                                                                                                                       ",Q11_Funding_Source_Inst_Donors,yes,no
" [55] ""...55""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q11_Funding_Source_Sub_Grant_INGO,yes,no
" [56] ""...56""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q11_Funding_Source_Private_Donor,yes,no
" [57] ""...57""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q11_Funding_Source_Foundations,yes,no
" [58] ""...58""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q11_Funding_Source_Paid_Services,yes,no
" [59] ""...59""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q11_Funding_Source_Funds,yes,no
" [60] ""...60""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q11_Funding_Source_Member_Fees,yes,no
" [61] ""...61""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q11_Funding_Source_Other,yes,no
" [62] ""...62""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q11_Funding_Source_Open_Response,no,no
" [63] ""If institutional donors, then which?""                                                                                                                                                                                                                                                                                                                                                                                            ",Q12_Inst_Donor_ECHO,yes,no
" [64] ""...64""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q12_Inst_Donor_Europaid,yes,no
" [65] ""...65""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q12_Inst_Donor_DFID,yes,no
" [66] ""...66""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q12_Inst_Donor_GIZ,yes,no
" [67] ""...67""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q12_Inst_Donor_DFAT,yes,no
" [68] ""...68""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q12_Inst_Donor_DANIDA,yes,no
" [69] ""...69""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q12_Inst_Donor_SDC,yes,no
" [70] ""...70""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q12_Inst_Donor_USAID,yes,no
" [71] ""...71""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q12_Inst_Donor_Other,yes,no
" [72] ""...72""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q12_Inst_Donor_Open_Response,no,no
" [73] ""What was the average number of paid employees in your organisation in 2018?""                                                                                                                                                                                                                                                                                                                                                     ",Q13_Num_Paid_Employees_2018,no,no
" [74] ""Do you work with volunteers?By volunteers we mean people who work with you on an unpaid basis to provide your services.  We do not mean interns. ""                                                                                                                                                                                                                                                                               ",Q14_Org_Has_Volunteers,no,no
" [75] ""If yes, how many active volunteers worked with you in 2018?""                                                                                                                                                                                                                                                                                                                                                                     ",Q15_Num_Volunteers_2018,no,no
" [76] ""In 2018, how many grants did you receive in the following ranges?Please answer each rowIf your income doesn't come from grants at all, select 0 on each row""                                                                                                                                                                                                                                                                     ",Q16_Num_Grants_0_15000,no,no
" [77] ""...77""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q16_Num_Grants_15001_35000,no,no
" [78] ""...78""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q16_Num_Grants_35001_60000,no,no
" [79] ""...79""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q16_Num_Grants_60001_100000,no,no
" [80] ""...80""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q16_Num_Grants_100001_500000,no,no
" [81] ""...81""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q16_Num_Grants_Over_500000,no,no
" [82] ""Do you mainly operate remotely or on the ground?""                                                                                                                                                                                                                                                                                                                                                                                ",Q17_Org_Operations_Remote,yes,no
" [83] ""...83""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q17_Org_Operations_On_Ground,yes,no
" [84] ""...84""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q17_Org_Operations_Mixed,yes,no
" [85] ""...85""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q17_Org_Operations_Open_Response,no,no
" [86] ""What security and hosting arrangements do you have in place?""                                                                                                                                                                                                                                                                                                                                                                    ",Q18_Org_Security_Agreements,no,no
" [87] ""...87""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q18_Org_Security_Agreements_Open_Response,no,no
" [88] ""Do you have a geographical focus?""                                                                                                                                                                                                                                                                                                                                                                                               ",Q19_Org_Geographical_Focus,no,no
" [89] ""...89""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q19_Org_Geographical_Focus_Open_Response,no,no
" [90] ""Have you ever been prevented from deploying because you did not have hosting and security arrangement in place?""                                                                                                                                                                                                                                                                                                                 ",Q20_Prevented_Deploying_Host_Security,no,no
" [91] ""If yes, please provide details below.""                                                                                                                                                                                                                                                                                                                                                                                           ",Q20_Prevented_Deploying_Host_Security_Open_Response,no,no
" [92] ""Into which category do your services best fit?""                                                                                                                                                                                                                                                                                                                                                                                  ",Q21_Org_Service_Type_Data_Information,yes,no
" [93] ""...93""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q21_Org_Service_Type_Logistics,yes,no
" [94] ""...94""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q21_Org_Service_Type_Security_Management,yes,no
" [95] ""...95""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q21_Org_Service_Type_Accountability,yes,no
" [96] ""...96""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q21_Org_Service_Type_Standard_Setting,yes,no
" [97] ""...97""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q21_Org_Service_Type_Capacity_Building,yes,no
" [98] ""...98""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q21_Org_Service_Type_Community_Engagement,yes,no
" [99] ""...99""                                                                                                                                                                                                                                                                                                                                                                                                                           ",Q21_Org_Service_Type_Deployment_Experts,yes,no
"[100] ""...100""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q21_Org_Service_Type_Impossible_Choose,yes,no
"[101] ""We want to keep categories to a minimum, but do you feel there is a key category missing from the above?""                                                                                                                                                                                                                                                                                                                        ",Q22_Org_Service_Type_Recommended_Options_Open_Response,no,no
"[102] ""Which are the main services your organisation offers?Please be very brief and specific as your answers will form part of a searchable list.  Potential users may approach you about these services, so be certain you could offer them if asked.  ""                                                                                                                                                                              ",Q23_Org_Services_Offered_1_Open_Response,no,no
"[103] ""...103""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q23_Org_Services_Offered_2_Open_Response,no,no
"[104] ""...104""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q23_Org_Services_Offered_3_Open_Response,no,no
"[105] ""...105""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q23_Org_Services_Offered_4_Open_Response,no,no
"[106] ""...106""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q23_Org_Services_Offered_5_Open_Response,no,no
"[107] ""If you offer more than 5 services, please list the others here.""                                                                                                                                                                                                                                                                                                                                                                 ",Q23_Org_Services_Offered_6_Open_Response,no,no
"[108] ""When do your services add most value in a response?""                                                                                                                                                                                                                                                                                                                                                                             ",Q24_Org_Services_Offered_1_Time_Value,no,no
"[109] ""...109""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q24_Org_Services_Offered_2_Time_Value,no,no
"[110] ""...110""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q24_Org_Services_Offered_3_Time_Value,no,no
"[111] ""...111""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q24_Org_Services_Offered_4_Time_Value,no,no
"[112] ""...112""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q24_Org_Services_Offered_5_Time_Value,no,no
"[113] ""With which members do you have a formal collaboration agreement?""                                                                                                                                                                                                                                                                                                                                                                ",Q25_Formal_Agreement_ACAPS,yes,no
"[114] ""...114""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_ALERT,yes,no
"[115] ""...115""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_Atlas_Logistics,yes,no
"[116] ""...116""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_BBC_Media_Action,yes,no
"[117] ""...117""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_CaLP,yes,no
"[118] ""...118""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_Canadem,yes,no
"[119] ""...119""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_CartONG,yes,no
"[120] ""...120""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_CDAC,yes,no
"[121] ""...121""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_CENNEC_Solutions,yes,no
"[122] ""...122""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_Centre_Humanitarian_Leadership,yes,no
"[123] ""...123""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_CERAH,yes,no
"[124] ""...124""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_CHS_Alliance,yes,no
"[125] ""...125""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_DEMAC,yes,no
"[126] ""...126""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_Development_Initiatives,yes,no
"[127] ""...127""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_Digital_Collaborative_Spaces,yes,no
"[128] ""...128""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_Digital_Humanitarian_Network,yes,no
"[129] ""...129""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_Equality_Institute,yes,no
"[130] ""...130""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_European_Interagency_Security_Forum,yes,no
"[131] ""...131""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_Evidence_Aid,yes,no
"[132] ""...132""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_Geneva_Learning_Foundation,yes,no
"[133] ""...133""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_GPPi,yes,no
"[134] ""...134""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_Ground_Truth_Solutions,yes,no
"[135] ""...135""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_Ground_Water_Relief,yes,no
"[136] ""...136""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_HERE,yes,no
"[137] ""...137""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_Human_Surge,yes,no
"[138] ""...138""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_Humanitarian_advisory_group,yes,no
"[139] ""...139""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_HIF,yes,no
"[140] ""...140""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_Humanitarian_Leadership_Academy,yes,no
"[141] ""...141""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_Humanitarian_Logistics_Association,yes,no
"[142] ""...142""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_Humanitarian_Open_Street_Map,yes,no
"[143] ""...143""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_Huridocs,yes,no
"[144] ""...144""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_HQAI,yes,no
"[145] ""...145""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_IDMC,yes,no
"[146] ""...146""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_iMMAP,yes,no
"[147] ""...147""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_IMPACT_Initiatives,yes,no
"[148] ""...148""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_Insecurity_Insight,yes,no
"[149] ""...149""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_Institut_Bioforce,yes,no
"[150] ""...150""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_Integrity_Action,yes,no
"[151] ""...151""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_Inter_Agency_Network_Education_Emergencies,yes,no
"[152] ""...152""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_Internews,yes,no
"[153] ""...153""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_The_New_Humanitarian,yes,no
"[154] ""...154""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_JIPS,yes,no
"[155] ""...155""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_Livestock_Emergency_Guidelines,yes,no
"[156] ""...156""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_MapAction,yes,no
"[157] ""...157""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_Mixed_Migration_Centre,yes,no
"[158] ""...158""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_REACH_Initiative,yes,no
"[159] ""...159""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_RedR,yes,no
"[160] ""...160""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_Re_Viewed,yes,no
"[161] ""...161""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_Sphere_Project,yes,no
"[162] ""...162""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_Standby_Taskforce,yes,no
"[163] ""...163""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_Statistics_Without_Borders,yes,no
"[164] ""...164""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_Tech_RRT,yes,no
"[165] ""...165""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_The_Shelter_Centre,yes,no
"[166] ""...166""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_Translators_Without_Borders,yes,no
"[167] ""...167""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_Groupe_URD,yes,no
"[168] ""...168""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q25_Formal_Agreement_None,yes,no
"[169] ""With which members have you informally collaborated?""                                                                                                                                                                                                                                                                                                                                                                            ",Q26_Informal_Agreement_ACAPS,yes,no
"[170] ""...170""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_ALERT,yes,no
"[171] ""...171""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_Atlas_Logistics,yes,no
"[172] ""...172""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_BBC_Media_Action,yes,no
"[173] ""...173""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_CaLP,yes,no
"[174] ""...174""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_Canadem,yes,no
"[175] ""...175""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_CartONG,yes,no
"[176] ""...176""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_CDAC,yes,no
"[177] ""...177""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_CENNEC_Solutions,yes,no
"[178] ""...178""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_Centre_Humanitarian_Leadership,yes,no
"[179] ""...179""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_CERAH,yes,no
"[180] ""...180""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_CHS_Alliance,yes,no
"[181] ""...181""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_DEMAC,yes,no
"[182] ""...182""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_Development_Initiatives,yes,no
"[183] ""...183""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_Digital_Collaborative_Spaces,yes,no
"[184] ""...184""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_Digital_Humanitarian_Network,yes,no
"[185] ""...185""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_Equality_Institute,yes,no
"[186] ""...186""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_European_Interagency_Security_Forum,yes,no
"[187] ""...187""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_Evidence_Aid,yes,no
"[188] ""...188""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_Geneva_Learning_Foundation,yes,no
"[189] ""...189""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_GPPi,yes,no
"[190] ""...190""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_Ground_Truth_Solutions,yes,no
"[191] ""...191""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_Ground_Water_Relief,yes,no
"[192] ""...192""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_HERE,yes,no
"[193] ""...193""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_Human_Surge,yes,no
"[194] ""...194""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_Humanitarian_advisory_group,yes,no
"[195] ""...195""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_HIF,yes,no
"[196] ""...196""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_Humanitarian_Leadership_Academy,yes,no
"[197] ""...197""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_Humanitarian_Logistics_Association,yes,no
"[198] ""...198""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_Humanitarian_Open_Street_Map,yes,no
"[199] ""...199""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_Huridocs,yes,no
"[200] ""...200""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_HQAI,yes,no
"[201] ""...201""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_IDMC,yes,no
"[202] ""...202""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_iMMAP,yes,no
"[203] ""...203""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_IMPACT_Initiatives,yes,no
"[204] ""...204""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_Insecurity_Insight,yes,no
"[205] ""...205""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_Institut_Bioforce,yes,no
"[206] ""...206""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_Integrity_Action,yes,no
"[207] ""...207""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_Inter_Agency_Network_Education_Emergencies,yes,no
"[208] ""...208""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_Internews,yes,no
"[209] ""...209""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_The_New_Humanitarian,yes,no
"[210] ""...210""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_JIPS,yes,no
"[211] ""...211""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_Livestock_Emergency_Guidelines,yes,no
"[212] ""...212""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_MapAction,yes,no
"[213] ""...213""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_Mixed_Migration_Centre,yes,no
"[214] ""...214""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_REACH_Initiative,yes,no
"[215] ""...215""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_RedR,yes,no
"[216] ""...216""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_Re_Viewed,yes,no
"[217] ""...217""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_Sphere_Project,yes,no
"[218] ""...218""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_Standby_Taskforce,yes,no
"[219] ""...219""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_Statistics_Without_Borders,yes,no
"[220] ""...220""                                                                                                                                                                                                                                                                                                                                                                                                                          ",Q26_Informal_Agreement_Tech_RRT,yes,no
